step,query_step,query_position,query,token,shift,revisit,threshold,active,event,top1_probability,top2_margin,logit_entropy
113,112,647, turning, occasionally,40.66188890807159,3.4939585018917576,10.269003053558917,0,0,0.9995481,8.375,0.006689984
114,113,648, occasionally, to,32.060737350650555,1.7360302587598146,10.269003053558917,0,0,0.4543268,0.125,1.626692
115,114,649, to, brown,32.32327780122143,1.6195394449217109,10.269003053558917,0,0,0.99985695,9.375,0.0023489448
116,115,650, brown, evenly,28.80330486527032,1.3052266970645658,10.269003053558917,0,0,0.9997654,8.875,0.0036320665
117,116,651, evenly,".
",48.35792340796691,5.96795339061741,10.269003053558917,0,0,0.70329,1.125,1.1322408
118,117,652,".
",5,49.356405105981075,5.325011198699142,10.269003053558917,0,0,0.97244406,4.125,0.24767408
119,118,653,5,.,47.987758642024176,5.1336118416951155,10.269003053558917,0,0,0.99982446,9.125,0.003037716
120,119,654,., Alternatively,43.43842272085365,5.126515932093982,9.641736183307462,0,0,0.5180061,1.5,2.65157
121,120,655, Alternatively,",",54.6570791050227,7.701636685622691,9.03759374670868,0,0,0.9995233,8.5,0.00691373
122,121,656,",", cook,45.953872692847696,5.938087389752436,9.03759374670868,0,0,0.73489386,1.125,1.0644804
123,122,657, cook, the,37.62258514020127,3.906702936188919,9.03759374670868,0,0,0.9896079,4.875,0.09631394
124,123,658, the, brat,38.593862747745504,4.7612095194527475,9.03759374670868,0,0,0.9934375,5.125,0.06458701
125,124,659, brat,w,49.59850781202329,9.027893049997711,8.051749845934744,1,1,0.9999962,13.125,6.208058e-05
126,125,660,w,urst,62.666610867340694,9.843364717488416,8.033200776716447,1,0,0.9999809,11.375,0.00038346837
127,126,661,urst, on,66.80919875001972,12.205330635262317,9.231760966870388,1,0,0.75473017,1.5,1.1242572
128,127,662, on, the,41.561466385982506,5.947685576884936,10.433856196931892,0,0,0.792964,1.375,0.7856496
129,128,663, the, pre,32.78589792765637,3.0819363391787755,10.433856196931892,0,0,0.7545906,1.125,0.81095356
130,129,664, pre,he,47.52001305318892,5.918561061188553,10.433856196931892,0,0,0.9999695,10.75,0.00052531925
131,130,665,he,ated,51.092498148355396,5.980593027798477,10.433856196931892,0,0,0.9999962,13.5,6.1719715e-05
132,131,666,ated, grill,62.48457095207966,9.446113432342191,10.433856196931892,0,0,0.9999695,10.875,0.00057831616
133,132,667, grill,",",42.6105695311154,5.055659907799334,10.433856196931892,0,0,0.59465975,0.625,1.606596
134,133,668,",", turning,36.745878534689034,4.093606877888407,10.433856196931892,0,0,0.9985058,6.875,0.01973002
135,134,669, turning, once,42.7428477225977,4.539228756855576,10.433856196931892,0,0,0.9999886,12.125,0.0002401632
136,135,670, once,",",39.85284845263929,4.379320868352162,10.433856196931892,0,0,0.99311155,5.0,0.061043676
137,136,671,",", for,30.208311141653724,2.158454806304376,10.433856196931892,0,0,0.9146844,2.375,0.4231913
138,137,672, for, ,41.752660150503715,6.648213560326706,10.433856196931892,0,0,0.9999962,13.125,7.054923e-05
139,138,673, ,5,43.217610931021916,4.1512573585585075,10.433856196931892,0,0,0.9999256,10.25,0.0012451643
140,139,674,5, to,48.37309020805148,6.248816679856072,10.433856196931892,0,0,0.9988257,6.75,0.013144097
141,140,675, to, ,55.47336191461112,7.352984397109024,10.433856196931892,0,0,0.99997336,10.625,0.0004521812
142,141,676, ,10,53.52004034370178,7.3190196514528285,10.433856196931892,0,0,0.9999752,11.875,0.00048414388
143,142,677,10, minutes,39.395592113051414,4.044141575099699,10.135917733072223,0,0,1.0,15.125,2.229463e-05
144,143,678, minutes,".
",38.78207009919572,3.4642493590343273,7.876266655917316,0,0,0.48058653,0.5,1.9158585
145,144,679,".
",6,60.72206226965871,8.32361946432962,7.876266655917316,1,1,0.99424875,6.0,0.0672919
146,145,680,6,.,47.18269816636152,5.093956464396391,8.604242956332763,0,0,0.9999791,12.3125,0.0004555418
147,146,681,., Serve,51.23998294562839,6.330843955499061,8.604242956332763,0,0,0.7155979,1.875,1.7173998
148,147,682, Serve, with,57.19380346543329,8.274879164956594,8.604242956332763,0,0,0.5303267,0.125,1.0162903
149,148,683, with, the,38.173115485649966,3.488494112375094,8.28706423979985,0,0,0.9989744,7.5,0.012974237
150,149,684, the, beer,35.78963902173976,3.6736294952162973,8.28706423979985,0,0,0.99877053,7.125,0.016183704
151,150,685, beer, mixture,47.20663148793841,5.956980606700508,8.28706423979985,0,0,0.99983406,9.375,0.002788744
152,151,686, mixture, as,37.41661809841051,3.3147275183829183,8.28706423979985,0,0,0.9929885,5.125,0.06687788
153,152,687, as, a,41.49584719877428,7.135516753309108,8.28706423979985,0,0,0.99996567,10.75,0.0006444069
154,153,688, a, topping,37.90493796089435,5.747941100085023,8.28706423979985,0,0,0.99996185,10.375,0.0006488425
155,154,689, topping, or,48.34009810041654,6.7976994527189305,8.28706423979985,0,0,0.9999886,11.625,0.0002529697
156,155,690, or, side,34.546819903249954,2.727798956810474,8.28706423979985,0,0,0.9999886,11.375,0.00022602845
157,156,691, side,.,46.96481046399225,6.029610852208089,8.28706423979985,0,0,0.65720344,1.125,1.4758017
158,157,692,.,<|eot_id|>,55.11603287883515,7.924757575204236,8.28706423979985,0,0,0.9897079,4.625,0.088619225
