step,position,query_position,token_id,token_piece,token,focus,top2_margin,logit_entropy
143,678,677,389,Ġon, on,0,0.625,
144,679,678,279,Ġthe, the,0,3.875,
145,680,679,40158,Ġgrill, grill,0,1.0,
146,681,680,1176,Ġfirst, first,0,2.25,
147,682,681,11,",",",",0,1.375,
148,683,682,1243,Ġthen, then,0,1.125,
149,684,683,4394,Ġcook, cook,0,1.625,
150,685,684,279,Ġthe, the,0,8.875,
151,686,685,45697,Ġonions, onions,0,8.0,
152,687,686,304,Ġin, in,0,5.25,
153,688,687,279,Ġthe, the,0,6.125,
154,689,688,13179,Ġbeer, beer,0,7.0,
155,690,689,21655,Ġmixture, mixture,0,10.125,
156,691,690,382,.ĊĊ,".

",0,0.125,
157,692,691,9290,Note,Note,0,1.9375,
158,693,692,25,:,:,0,2.625,
159,694,693,578,ĠThe, The,0,1.75,
160,695,694,47869,Ġpassages, passages,0,0.625,
161,696,695,656,Ġdo, do,0,0.5,
162,697,696,539,Ġnot, not,0,4.0,
163,698,697,3493,Ġprovide, provide,0,1.75,
164,699,698,264,Ġa, a,0,2.5,
165,700,699,3254,Ġsingle, single,0,1.0,
166,701,700,743,Ġset, set,0,0.75,
167,702,701,315,Ġof, of,0,7.375,
168,703,702,11470,Ġinstructions, instructions,0,2.0,
169,704,703,11,",",",",0,1.75,
170,705,704,719,Ġbut, but,0,1.0,
171,706,705,4856,Ġrather, rather,0,2.25,
172,707,706,5361,Ġmultiple, multiple,0,0.875,
173,708,707,5528,Ġmethods, methods,0,1.625,
174,709,708,369,Ġfor, for,0,0.25,
175,710,709,17677,Ġcooking, cooking,0,8.25,
176,711,710,1437,Ġbr, br,0,2.0,
177,712,711,1900,ats,ats,0,14.625,
178,713,712,13,.,.,0,5.0,
179,714,713,578,ĠThe, The,0,0.875,
180,715,714,3485,Ġabove, above,0,1.125,
181,716,715,2077,Ġresponse, response,0,1.125,
182,717,716,33511,Ġcombines, combines,0,2.0,
183,718,717,279,Ġthe, the,0,2.25,
184,719,718,7504,Ġsteps, steps,0,0.25,
185,720,719,505,Ġfrom, from,0,6.75,
186,721,720,682,Ġall, all,0,0.875,
187,722,721,2380,Ġthree, three,0,2.0,
188,723,722,47869,Ġpassages, passages,0,11.0,
189,724,723,311,Ġto, to,0,0.0,
190,725,724,3493,Ġprovide, provide,0,4.375,
191,726,725,264,Ġa, a,0,4.125,
192,727,726,16195,Ġcomprehensive, comprehensive,0,3.0,
193,728,727,8641,Ġguide, guide,0,1.125,
194,729,728,13,.,.,0,3.125,
195,730,729,128009,<|eot_id|>,<|eot_id|>,0,5.25,
