case,condition,variant,step,query,entropy,top_margin,candidate_a,candidate_b,candidate_margin,top_token,expected_candidate,revisit8,revisit16,revisit32,is_value_slot
cooking_correct,cooking_correct,local16,96, ,0.9736310243606567,2.5,10,5,-2.5,5,,0.005228075198829174,0.0,0.0,0
cooking_correct,cooking_correct,local16,99, ,0.7086907625198364,0.625,14,12,-5.375,12,,0.0002379042562097311,0.0,0.0,0
cooking_correct,cooking_correct,local64,95, for,0.5324918627738953,1.625, , either,13.3125, ,,0.007528203190304339,0.0070376250660046935,0.009724202274810523,0
cooking_correct,cooking_correct,local64,96, ,1.0994840860366821,2.25,10,5,-2.25,5,,0.005266339983791113,0.004338127677328885,0.006947610119823366,0
cooking_correct,cooking_correct,local64,99, ,0.7633724212646484,0.125,14,12,-5.125,15,,0.0013394116540439427,0.003313102584797889,0.001998715801164508,0
cooking_wrong,cooking_wrong,full,127, for,1.2706537246704102,0.0, , an,0.0, ,,0.01802134868921712,0.018152588105294853,0.012047333235386759,0
cooking_wrong,cooking_wrong,full,128, ,0.4993375539779663,1.625,10,1,1.625,10,,0.005140133551321924,0.009223155037034303,0.011216467071790248,0
cooking_wrong,cooking_wrong,full,131, ,0.028482327237725258,5.5,12, ,5.5,12,,0.003126135328784585,0.005214402510318905,0.006720642384607345,0
cooking_wrong,cooking_wrong,cut_source,127, for,1.4641151428222656,0.5, , an,-0.75, an,,0.012930698052514344,0.011206792551092803,0.004878975567407906,0
cooking_wrong,cooking_wrong,cut_source,128, ,1.1240637302398682,1.125,10,1,1.25,5,,0.003256036783568561,0.005650673061609268,0.005980638787150383,0
cooking_wrong,cooking_wrong,cut_source,131, ,0.7081076502799988,1.75,12, ,6.375,15,,0.0014811918954364955,0.003780381055548787,0.0018726514535956085,0
cooking_wrong,cooking_wrong,cut_remote_history,127, for,0.9466347098350525,2.125, , an,2.125, ,,0.013599884114228189,0.010981880011968315,0.014188845816534013,0
cooking_wrong,cooking_wrong,cut_remote_history,128, ,0.18268823623657227,4.625,10,1,4.625,10,,0.006131326605100185,0.010754809074569494,0.01190756680443883,0
cooking_wrong,cooking_wrong,cut_remote_history,131, ,0.23919297754764557,2.75,12, ,2.75,12,,0.0013346527121029794,0.003777305653784424,0.0041918851202353835,0
cooking_wrong,cooking_wrong,cut_recent_history,127, for,5.439069747924805,0.875, , an,3.375, for,,0.0,0.0,5.7764933444559574e-05,0
cooking_wrong,cooking_wrong,cut_recent_history,128, ,3.6574559211730957,0.1875,10,1,1.125,10,,0.0,0.0,0.002292271761689335,0
cooking_wrong,cooking_wrong,cut_recent_history,131, ,4.093367099761963,0.1875,12, ,-2.25, ,,0.0,0.0,0.006825766817200929,0
cooking_wrong,cooking_wrong,local16,127, for,1.4665579795837402,0.75, , an,1.375, ,,0.008042303961701691,0.0,0.0,0
cooking_wrong,cooking_wrong,local16,128, ,1.3783693313598633,0.25,10,1,-1.125,2,,0.0016210119938477874,0.0,0.0,0
cooking_wrong,cooking_wrong,local16,131, ,0.5007507801055908,1.625,12, ,8.6875,15,,0.0001490056747570634,0.0,0.0,0
cooking_wrong,cooking_wrong,local64,127, for,1.273956298828125,1.375, , an,1.375, ,,0.011285834363661706,0.007061924901790917,0.0010518356575630605,0
cooking_wrong,cooking_wrong,local64,128, ,1.5700629949569702,0.125,10,1,-0.875,2,,0.002950130437966436,0.0035132509656250477,0.0019419465097598732,0
cooking_wrong,cooking_wrong,local64,131, ,1.1680588722229004,0.25,12, ,9.125,12,,0.002879193692933768,0.0055913072428666055,0.0013927266118116677,0
headdress,headdress,full,34, and,2.61850643157959,0.0, wore, were,-1.8125, were,,0.012542333628516644,0.009431538404896855,0.006569333665538579,0
headdress,headdress,full,37, he,0.0013775737024843693,9.375,address,addresses,9.375,address,,0.011148003221023828,0.0080354671808891,0.006567463395185769,0
headdress,headdress,cut_source,34, and,5.256890296936035,0.5625, wore, were,-2.75, were,,0.01228510239161551,0.007228388625662774,0.0005321243079379201,0
headdress,headdress,cut_source,37, he,0.028890179470181465,5.625,address,addresses,5.625,address,,0.010627384937833995,0.007061006152071059,0.008986136526800692,0
headdress,headdress,cut_remote_history,34, and,2.9213199615478516,0.375, wore, were,-2.3125, were,,0.010329401935450733,0.007708751014433801,0.008109318790957332,0
headdress,headdress,cut_remote_history,37, he,0.0005902604898437858,10.5,address,addresses,10.5,address,,0.007977733039297163,0.002957636199425906,0.003119903209153563,0
headdress,headdress,cut_recent_history,34, and,5.134490013122559,0.5, wore, were,-1.375, gold,,0.0,0.0,0.0012470787041820586,0
headdress,headdress,cut_recent_history,37, he,1.4896472692489624,0.875,address,addresses,0.875,address,,0.0,0.0,0.006000533874612302,0
headdress,headdress,local16,34, and,5.425904750823975,0.9375, wore, were,-3.375, were,,0.008040407381486148,0.0,0.0,0
headdress,headdress,local16,37, he,0.04671909660100937,6.0,address,addresses,6.0,address,,0.008179756172467023,0.0,0.0,0
headdress,headdress,local64,34, and,5.441008567810059,0.5, wore, were,-2.4375, were,,0.010727268119808286,0.0062238763784989715,0.0005748928524553776,0
headdress,headdress,local64,37, he,0.02079831436276436,6.25,address,addresses,6.25,address,,0.009848491637967527,0.007823371095582843,0.009580526675563306,0
clothes,clothes,full,18,.,1.1503932476043701,0.875, They, The,0.875, They,,0.02269467822043225,0.016102190304081887,0.011514792684465647,0
clothes,clothes,full,19, They,1.5474717617034912,0.75, wore, were,-0.75, were,,0.003431746212299913,0.008000765810720623,0.008401926839724183,0
clothes,clothes,cut_source,18,.,2.6877999305725098,0.125, They, The,0.8125, They,,0.022655125299934298,0.006403667444828898,0.0,0
clothes,clothes,cut_source,19, They,2.6448488235473633,0.125, wore, were,-0.625, were,,0.006245748547371477,0.004613948694895953,0.0,0
clothes,clothes,cut_remote_history,18,.,1.2088825702667236,1.0, They, The,1.0, They,,0.020295356574933976,0.011175293184351176,0.012220946722663939,0
clothes,clothes,cut_remote_history,19, They,1.0851459503173828,1.375, wore, were,-3.125, were,,0.0023224818287417293,0.004721518722362816,0.008551824081223458,0
clothes,clothes,cut_recent_history,18,.,3.241028308868408,0.3125, They, The,-2.8125, The,,0.0,0.0,0.0002016957732848823,0
clothes,clothes,cut_recent_history,19, They,1.8940563201904297,1.5, wore, were,1.5, wore,,0.0,0.0,0.005266699299681932,0
clothes,clothes,local16,18,.,4.4644455909729,0.5625, They, The,-0.5625, The,,0.02317253377987072,0.0,0.0,0
clothes,clothes,local16,19, They,2.3790037631988525,2.5, wore, were,-3.375, were,,0.0038867286639288068,0.0,0.0,0
clothes,clothes,local64,18,.,2.9141576290130615,0.375, They, The,0.1875, In,,0.031447730492800474,0.013425648387055844,0.006468094827141613,0
clothes,clothes,local64,19, They,2.756169080734253,0.375, wore, were,0.375, wore,,0.0042465393780730665,0.004215888038743287,0.0008091744384728372,0
normal_transition,normal_transition,full,69,".
",0.005976698361337185,7.875,3,  ,7.875,3,,0.03304605127777904,0.045268169429618865,0.024489285715389997,0
normal_transition,normal_transition,cut_source,69,".
",1.0420920848846436,3.3125,3,  ,3.3125,3,,0.051004065840970725,0.06551469414262101,0.029142580810002983,0
normal_transition,normal_transition,cut_remote_history,69,".
",0.8084137439727783,3.375,3,  ,1.75," 
",,0.003669173689559102,0.009203654655721039,0.010401364124845713,0
normal_transition,normal_transition,cut_recent_history,69,".
",5.697741508483887,0.0,3,  ,2.5,3,,0.0,0.0,0.0047550625167787075,0
normal_transition,normal_transition,local16,69,".
",4.970795154571533,1.0625,3,  ,0.75,Bus,,0.006814836524426937,0.0,0.0,0
normal_transition,normal_transition,local64,69,".
",0.29444414377212524,4.5,3,  ,4.5625,3,,0.0606544433394447,0.07555791008053347,0.03830662090331316,0
