trace_a,trace_b,step,prefix_tokens,next_id_a,next_id_b,candidate_ids_equal,max_top_logit_error,log_normalizer_error
00005.npz,00006.npz,3,437,44660,1051,1,0.0,0.0
00004.npz,00007.npz,0,434,29815,644,1,0.0,0.0
00005.npz,00007.npz,1,435,936,936,1,0.0,0.0
00005.npz,00007.npz,2,436,15447,15447,1,0.0,0.0
00005.npz,00007.npz,3,437,44660,1051,1,0.0,0.0
00006.npz,00007.npz,4,438,1903,1903,1,0.0,0.0
00006.npz,00007.npz,5,439,315,315,1,0.0,0.0
00006.npz,00007.npz,6,440,56874,56874,1,0.0,0.0
00006.npz,00007.npz,7,441,477,477,1,0.0,0.0
00006.npz,00007.npz,8,442,1168,1168,1,0.0,0.0
00006.npz,00007.npz,9,443,3847,3847,1,0.0,0.0
00006.npz,00007.npz,10,444,94082,94082,1,0.0,0.0
00006.npz,00007.npz,11,445,11,11,1,0.0,0.0
00006.npz,00007.npz,12,446,3629,5762,1,0.0,0.0
00008.npz,00009.npz,0,579,17512,17512,1,0.0,0.0
00008.npz,00009.npz,1,580,311,311,1,0.0,0.0
00008.npz,00009.npz,2,581,4320,4320,1,0.0,0.0
00008.npz,00009.npz,3,582,3196,3196,1,0.0,0.0
00008.npz,00009.npz,4,583,389,389,1,0.0,0.0
00008.npz,00009.npz,5,584,2728,2728,1,0.0,0.0
00008.npz,00009.npz,6,585,47869,47869,1,0.0,0.0
00008.npz,00009.npz,7,586,13,13,1,0.0,0.0
00008.npz,00009.npz,8,587,128009,128009,1,0.0,0.0
00008.npz,00010.npz,0,579,17512,17512,1,0.0,0.0
00008.npz,00010.npz,1,580,311,311,1,0.0,0.0
00008.npz,00010.npz,2,581,4320,4320,1,0.0,0.0
00008.npz,00010.npz,3,582,3196,3196,1,0.0,0.0
00008.npz,00010.npz,4,583,389,389,1,0.0,0.0
00008.npz,00010.npz,5,584,2728,2728,1,0.0,0.0
00008.npz,00010.npz,6,585,47869,47869,1,0.0,0.0
00008.npz,00010.npz,7,586,13,13,1,0.0,0.0
00008.npz,00010.npz,8,587,128009,128009,1,0.0,0.0
00008.npz,00011.npz,0,579,17512,17512,1,0.0,0.0
00008.npz,00011.npz,1,580,311,311,1,0.0,0.0
00008.npz,00011.npz,2,581,4320,4320,1,0.0,0.0
00008.npz,00011.npz,3,582,3196,3196,1,0.0,0.0
00008.npz,00011.npz,4,583,389,389,1,0.0,0.0
00008.npz,00011.npz,5,584,2728,2728,1,0.0,0.0
00008.npz,00011.npz,6,585,47869,47869,1,0.0,0.0
00008.npz,00011.npz,7,586,13,13,1,0.0,0.0
00008.npz,00011.npz,8,587,128009,128009,1,0.0,0.0
00012.npz,00013.npz,0,535,1271,29815,1,0.0,0.0
00012.npz,00014.npz,0,535,1271,1271,1,0.0,0.0
00012.npz,00014.npz,1,536,4394,4394,1,0.0,0.0
00012.npz,00014.npz,2,537,1437,1437,1,0.0,0.0
00012.npz,00014.npz,3,538,1900,1900,1,0.0,0.0
00012.npz,00014.npz,4,539,11,11,1,0.0,0.0
00012.npz,00014.npz,5,540,1833,1833,1,0.0,0.0
00012.npz,00014.npz,6,541,1521,1521,1,0.0,0.0
00012.npz,00014.npz,7,542,7504,7504,1,0.0,0.0
00012.npz,00014.npz,8,543,1473,1473,1,0.0,0.0
00012.npz,00014.npz,9,544,16,16,1,0.0,0.0
00012.npz,00014.npz,10,545,13,13,1,0.0,0.0
00012.npz,00014.npz,11,546,2394,2394,1,0.0,0.0
00012.npz,00014.npz,12,547,875,875,1,0.0,0.0
00012.npz,00014.npz,13,548,279,279,1,0.0,0.0
00012.npz,00014.npz,14,549,117845,117845,1,0.0,0.0
00012.npz,00014.npz,15,550,86,86,1,0.0,0.0
00012.npz,00014.npz,16,551,33712,33712,1,0.0,0.0
00012.npz,00014.npz,17,552,449,449,1,0.0,0.0
00012.npz,00014.npz,18,553,264,264,1,0.0,0.0
00012.npz,00014.npz,19,554,23243,23243,1,0.0,0.0
00012.npz,00014.npz,20,555,311,311,1,0.0,0.0
00012.npz,00014.npz,21,556,5471,5471,1,0.0,0.0
00012.npz,00014.npz,22,557,1124,1124,1,0.0,0.0
00012.npz,00014.npz,23,558,505,505,1,0.0,0.0
00012.npz,00014.npz,24,559,73745,73745,1,0.0,0.0
00012.npz,00014.npz,25,560,439,627,1,0.0,0.0
00012.npz,00015.npz,0,535,1271,29815,1,0.0,0.0
00013.npz,00015.npz,1,536,389,389,1,0.0,0.0
00013.npz,00015.npz,2,537,279,279,1,0.0,0.0
00013.npz,00015.npz,3,538,2728,2728,1,0.0,0.0
00013.npz,00015.npz,4,539,47869,47869,1,0.0,0.0
00013.npz,00015.npz,5,540,11,11,1,0.0,0.0
00013.npz,00015.npz,6,541,1618,1618,1,0.0,0.0
00013.npz,00015.npz,7,542,596,596,1,0.0,0.0
00013.npz,00015.npz,8,543,1268,264,1,0.0,0.0
